               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  68,            0.072266,            0.019883,            0.010125,             0.87053,             0.91336,             0.89825,             0.39014,            0.061654,            0.015859,           0.0078063,            0.007789,            0.007789,            0.007789
                  69,            0.070834,            0.019831,           0.0098654,             0.88493,             0.92271,             0.89222,             0.39537,            0.060991,            0.015594,           0.0078173,            0.007756,            0.007756,            0.007756
                  70,            0.071888,             0.01951,            0.010038,             0.89977,             0.91916,             0.93049,             0.44192,            0.061499,            0.015844,           0.0081221,            0.007723,            0.007723,            0.007723
                  71,            0.070807,             0.01933,            0.010151,             0.90993,             0.90462,              0.9289,              0.4538,             0.06127,             0.01472,           0.0075342,             0.00769,             0.00769,             0.00769
                  72,            0.072056,            0.019239,            0.010139,             0.87353,             0.82666,             0.85443,             0.36739,             0.06293,            0.015681,           0.0083298,            0.007657,            0.007657,            0.007657
                  73,            0.070627,            0.019264,           0.0099258,             0.91156,             0.88057,             0.90133,             0.39366,              0.0642,            0.014591,           0.0078767,            0.007624,            0.007624,            0.007624
                  74,            0.070624,             0.01963,           0.0097894,             0.93403,             0.92531,             0.92886,             0.43349,            0.058796,            0.014697,            0.007784,            0.007591,            0.007591,            0.007591
                  75,            0.070531,            0.019055,           0.0098898,             0.91788,             0.91781,             0.93283,             0.41842,            0.060197,            0.015317,           0.0081486,            0.007558,            0.007558,            0.007558
                  76,             0.07078,            0.020692,             0.01016,             0.90414,             0.90926,             0.92266,             0.43846,            0.060279,            0.015115,           0.0076237,            0.007525,            0.007525,            0.007525
                  77,            0.070381,            0.020156,            0.010027,             0.93283,             0.92939,              0.9256,             0.43556,             0.06032,            0.014809,           0.0076136,            0.007492,            0.007492,            0.007492
                  78,            0.070823,            0.019473,            0.010222,             0.80849,               0.827,             0.82145,             0.35807,            0.066389,            0.016221,           0.0090057,            0.007459,            0.007459,            0.007459
                  79,            0.069823,            0.019277,           0.0099481,             0.91232,             0.91699,             0.91192,             0.42013,            0.059636,            0.014794,           0.0077035,            0.007426,            0.007426,            0.007426
                  80,            0.070142,            0.019263,            0.010196,             0.94095,             0.92992,             0.93173,             0.44763,            0.057945,            0.014941,           0.0076562,            0.007393,            0.007393,            0.007393
                  81,            0.070342,            0.019398,            0.010026,             0.92098,             0.90785,             0.92486,             0.44328,            0.059536,            0.015014,           0.0076182,             0.00736,             0.00736,             0.00736
                  82,             0.06959,            0.019446,           0.0099792,             0.92363,             0.92939,             0.93178,             0.44205,            0.058332,            0.014697,           0.0076253,            0.007327,            0.007327,            0.007327
                  83,            0.069487,            0.019556,           0.0098238,             0.92738,             0.92209,              0.9155,             0.43313,            0.058666,            0.014722,           0.0078224,            0.007294,            0.007294,            0.007294
                  84,            0.070021,            0.020486,            0.010079,             0.94018,             0.93384,             0.93823,             0.44884,             0.05885,            0.014522,           0.0076355,            0.007261,            0.007261,            0.007261
                  85,            0.068701,            0.019152,           0.0095429,             0.93194,             0.92636,             0.93073,             0.44989,            0.058331,            0.014618,           0.0077239,            0.007228,            0.007228,            0.007228
                  86,            0.068501,            0.019217,           0.0099777,             0.94144,             0.93168,             0.93338,             0.45605,            0.058355,            0.014808,           0.0077555,            0.007195,            0.007195,            0.007195
                  87,            0.068557,            0.020321,           0.0097063,             0.93767,             0.92601,             0.93079,             0.44321,            0.058527,            0.014667,           0.0074865,            0.007162,            0.007162,            0.007162
                  88,            0.069186,            0.020239,            0.010073,             0.93608,             0.92005,             0.92018,             0.41571,            0.058539,             0.01515,           0.0077104,            0.007129,            0.007129,            0.007129
                  89,            0.068502,            0.018944,           0.0096752,             0.96254,             0.94627,               0.949,             0.46344,             0.05676,            0.014955,           0.0075741,            0.007096,            0.007096,            0.007096
                  90,            0.068074,            0.019439,           0.0095486,             0.86074,             0.86416,             0.87812,             0.38398,            0.065982,            0.016039,           0.0089383,            0.007063,            0.007063,            0.007063
                  91,            0.070221,            0.021143,            0.010131,             0.91835,             0.92942,             0.92413,             0.43667,            0.058699,            0.014858,             0.00762,             0.00703,             0.00703,             0.00703
                  92,            0.068191,            0.019793,           0.0095405,             0.92008,              0.8837,             0.90596,             0.42379,            0.060281,            0.015044,           0.0080035,            0.006997,            0.006997,            0.006997
                  93,            0.068942,            0.019696,           0.0099983,              0.9264,             0.92262,             0.92722,             0.46059,            0.058162,            0.015236,           0.0077272,            0.006964,            0.006964,            0.006964
                  94,            0.068816,            0.018997,           0.0097496,             0.91415,             0.87779,              0.9106,             0.42856,            0.059514,            0.015749,           0.0081385,            0.006931,            0.006931,            0.006931
                  95,            0.070018,            0.020613,            0.010152,             0.92363,             0.92306,             0.92811,             0.44285,            0.058242,            0.014508,           0.0074568,            0.006898,            0.006898,            0.006898
                  96,            0.067731,              0.0195,           0.0095687,             0.94571,             0.94053,             0.94071,             0.47419,            0.057222,            0.014302,           0.0074308,            0.006865,            0.006865,            0.006865
                  97,            0.068361,            0.019415,            0.010185,             0.93712,             0.93456,             0.92803,             0.44796,            0.057062,             0.01439,            0.007398,            0.006832,            0.006832,            0.006832
                  98,            0.067822,            0.018813,           0.0093119,             0.94101,             0.92999,             0.93585,             0.42535,            0.058297,            0.014581,           0.0074621,            0.006799,            0.006799,            0.006799
                  99,            0.066032,            0.019391,           0.0093939,              0.9314,              0.9189,             0.92052,             0.43317,            0.056991,            0.014671,           0.0074057,            0.006766,            0.006766,            0.006766
                 100,            0.069016,            0.020303,           0.0099584,              0.9484,             0.92546,             0.93891,             0.45461,             0.05652,            0.014273,           0.0073906,            0.006733,            0.006733,            0.006733
                 101,            0.066726,            0.018469,           0.0098033,             0.95267,             0.93363,             0.94694,             0.47865,            0.056681,            0.014343,           0.0073364,              0.0067,              0.0067,              0.0067
                 102,            0.067648,            0.019704,           0.0096405,             0.91913,             0.91763,             0.90924,             0.41189,            0.058303,            0.014451,           0.0074252,            0.006667,            0.006667,            0.006667
                 103,            0.067027,            0.019451,           0.0097135,              0.9458,               0.931,             0.93492,             0.46116,            0.056729,            0.014416,           0.0075099,            0.006634,            0.006634,            0.006634
                 104,            0.067448,            0.019239,           0.0098976,             0.91272,              0.9234,             0.92638,             0.42938,            0.058002,            0.014668,           0.0079552,            0.006601,            0.006601,            0.006601
                 105,               0.067,            0.019296,           0.0097086,             0.94189,             0.93189,             0.93989,             0.46245,            0.056799,            0.014251,           0.0074148,            0.006568,            0.006568,            0.006568
                 106,            0.067889,            0.020007,            0.010017,             0.92321,             0.91342,             0.93442,             0.40432,            0.058971,             0.01462,           0.0075476,            0.006535,            0.006535,            0.006535
                 107,            0.066923,            0.020097,           0.0097883,             0.94147,             0.90834,             0.92756,             0.43707,            0.057796,            0.014176,           0.0073012,            0.006502,            0.006502,            0.006502
                 108,            0.067083,            0.019862,           0.0097972,             0.92884,             0.93802,             0.92992,             0.43788,            0.056536,            0.014332,           0.0072952,            0.006469,            0.006469,            0.006469
                 109,            0.067462,            0.019772,           0.0098879,             0.72161,             0.72051,              0.7274,             0.30081,            0.076387,            0.019366,            0.013425,            0.006436,            0.006436,            0.006436
                 110,            0.066567,            0.019032,            0.009909,             0.93954,             0.93202,              0.9291,             0.44424,            0.055739,            0.014648,            0.007391,            0.006403,            0.006403,            0.006403
                 111,            0.066027,            0.019011,           0.0096845,             0.94551,             0.93549,             0.93705,             0.45203,            0.055643,            0.014527,           0.0074946,             0.00637,             0.00637,             0.00637
                 112,            0.066124,            0.018751,           0.0096594,             0.92854,             0.92616,             0.92489,              0.4162,            0.059107,            0.014531,            0.007537,            0.006337,            0.006337,            0.006337
                 113,            0.065302,             0.01855,           0.0094459,             0.94836,             0.93217,             0.94191,             0.46698,            0.056264,            0.014015,           0.0072611,            0.006304,            0.006304,            0.006304
                 114,            0.066088,            0.018631,           0.0095014,             0.94756,             0.94409,             0.94332,             0.44716,            0.056573,            0.014056,           0.0072716,            0.006271,            0.006271,            0.006271
                 115,            0.065569,             0.01838,           0.0095268,             0.93988,             0.94331,             0.94322,             0.46779,             0.05516,            0.014476,           0.0072648,            0.006238,            0.006238,            0.006238
                 116,            0.065875,            0.018458,           0.0097305,             0.95108,             0.93524,             0.94314,             0.46782,            0.054374,            0.014419,           0.0071892,            0.006205,            0.006205,            0.006205
                 117,            0.065859,            0.018736,           0.0094734,             0.93343,             0.92347,             0.92337,             0.43586,            0.057991,            0.014196,            0.007258,            0.006172,            0.006172,            0.006172
                 118,            0.065403,            0.017915,           0.0091635,             0.94447,             0.93631,             0.94335,             0.45328,            0.056227,            0.014383,           0.0073475,            0.006139,            0.006139,            0.006139
                 119,            0.065483,            0.019275,           0.0093028,             0.93398,             0.93463,             0.93347,             0.45219,            0.055863,            0.014636,           0.0073097,            0.006106,            0.006106,            0.006106
