               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  61,            0.071974,            0.020113,           0.0098907,             0.84084,             0.85819,             0.86198,             0.39103,            0.062421,            0.015155,           0.0081461,             0.00802,             0.00802,             0.00802
                  62,              0.0709,            0.020978,            0.010094,             0.89426,             0.86119,              0.8725,             0.38401,            0.062347,            0.015091,           0.0081965,            0.007987,            0.007987,            0.007987
                  63,            0.072292,            0.020547,            0.010276,             0.88118,             0.86374,               0.872,             0.38132,            0.063738,            0.015363,           0.0079885,            0.007954,            0.007954,            0.007954
                  64,            0.069561,            0.020465,           0.0095413,             0.90669,             0.88522,              0.8987,             0.40349,            0.061209,            0.015068,           0.0080863,            0.007921,            0.007921,            0.007921
                  65,            0.070858,            0.020458,           0.0099059,             0.78291,             0.75012,             0.76918,             0.31534,            0.072425,             0.01665,            0.010801,            0.007888,            0.007888,            0.007888
                  66,            0.071448,            0.020003,            0.010561,             0.85641,             0.87124,             0.85133,             0.38158,            0.063207,            0.015338,           0.0081114,            0.007855,            0.007855,            0.007855
                  67,            0.070785,            0.020304,           0.0099443,             0.88413,             0.85629,             0.86385,             0.39088,            0.062795,            0.015634,           0.0083793,            0.007822,            0.007822,            0.007822
                  68,              0.0709,            0.021048,            0.010089,             0.90051,             0.86256,             0.89077,             0.38707,            0.060865,            0.015349,            0.007965,            0.007789,            0.007789,            0.007789
                  69,              0.0703,            0.019661,            0.010037,             0.89625,             0.85558,             0.86956,             0.39301,            0.063206,            0.015182,           0.0080974,            0.007756,            0.007756,            0.007756
                  70,            0.070836,            0.021232,            0.010012,             0.85703,             0.86114,             0.85529,             0.38881,            0.062392,            0.015895,           0.0082012,            0.007723,            0.007723,            0.007723
                  71,             0.07076,            0.020586,             0.01004,             0.88188,               0.857,             0.86295,             0.39018,            0.063062,             0.01571,           0.0082941,             0.00769,             0.00769,             0.00769
                  72,            0.070239,             0.02053,            0.009905,             0.91048,             0.87791,             0.89228,             0.40404,              0.0618,            0.015059,           0.0079516,            0.007657,            0.007657,            0.007657
                  73,            0.068592,            0.019752,           0.0095806,             0.88478,             0.86583,             0.88347,             0.39492,            0.062099,            0.015625,           0.0080438,            0.007624,            0.007624,            0.007624
                  74,            0.068969,             0.01929,           0.0096348,             0.89276,             0.88037,             0.88753,             0.40888,            0.062016,             0.01522,            0.007814,            0.007591,            0.007591,            0.007591
                  75,            0.068625,            0.019154,           0.0099246,             0.77233,              0.7339,             0.75023,             0.31361,            0.070257,            0.016721,           0.0092234,            0.007558,            0.007558,            0.007558
                  76,            0.068647,             0.01938,           0.0098535,             0.90309,             0.87735,             0.88773,             0.39811,            0.061611,            0.014926,           0.0078916,            0.007525,            0.007525,            0.007525
                  77,            0.068839,            0.019718,           0.0097141,             0.91883,             0.88813,             0.89429,             0.41044,            0.061337,            0.014848,           0.0079692,            0.007492,            0.007492,            0.007492
                  78,            0.068212,            0.018532,           0.0096837,             0.88545,              0.8839,             0.88875,             0.41062,            0.060607,             0.01491,           0.0078671,            0.007459,            0.007459,            0.007459
                  79,             0.06828,            0.019715,           0.0096434,             0.87938,              0.8613,             0.87373,             0.39601,             0.06297,            0.015133,           0.0080793,            0.007426,            0.007426,            0.007426
                  80,            0.069641,            0.020321,            0.010101,             0.86437,             0.87177,             0.85869,             0.38768,            0.061727,             0.01525,           0.0079294,            0.007393,            0.007393,            0.007393
                  81,            0.067917,            0.019426,           0.0093927,             0.89867,             0.86414,             0.87423,             0.40008,            0.060782,            0.015035,            0.007784,             0.00736,             0.00736,             0.00736
                  82,             0.06886,            0.020236,           0.0097977,             0.86056,             0.83093,             0.85013,              0.3886,            0.063088,            0.016234,           0.0084489,            0.007327,            0.007327,            0.007327
                  83,            0.069295,            0.020407,            0.010093,             0.87134,             0.85346,             0.87323,             0.40527,            0.061375,            0.014955,            0.007834,            0.007294,            0.007294,            0.007294
                  84,             0.06907,            0.019892,            0.010083,             0.89979,             0.88007,             0.88446,             0.41554,            0.060241,            0.014923,           0.0077606,            0.007261,            0.007261,            0.007261
                  85,            0.067769,            0.019158,           0.0095902,             0.89028,             0.88407,             0.88733,             0.41051,              0.0594,              0.0151,           0.0079006,            0.007228,            0.007228,            0.007228
                  86,            0.068047,            0.020439,           0.0097767,             0.91778,             0.87467,             0.90152,             0.41452,            0.060797,            0.014799,           0.0078305,            0.007195,            0.007195,            0.007195
                  87,            0.067861,            0.019781,           0.0097328,              0.9198,             0.87773,             0.89749,             0.41632,            0.060971,            0.014752,           0.0078475,            0.007162,            0.007162,            0.007162
                  88,            0.068282,            0.020217,           0.0096227,             0.89732,             0.87612,             0.89165,             0.42031,            0.060084,            0.014851,            0.007815,            0.007129,            0.007129,            0.007129
                  89,            0.067225,            0.019115,           0.0093878,             0.88983,             0.85393,             0.88754,             0.42127,            0.059995,            0.014894,            0.007846,            0.007096,            0.007096,            0.007096
                  90,            0.067188,            0.020338,           0.0095484,             0.82362,             0.82986,             0.85044,             0.39419,            0.062459,            0.016391,           0.0086009,            0.007063,            0.007063,            0.007063
                  91,            0.066249,            0.019522,           0.0093523,             0.90705,             0.88334,             0.90206,             0.42004,             0.05896,            0.015017,           0.0077997,             0.00703,             0.00703,             0.00703
                  92,            0.066311,            0.019662,           0.0094635,             0.91416,             0.89014,             0.89654,             0.41167,            0.060659,            0.014912,            0.007958,            0.006997,            0.006997,            0.006997
                  93,            0.067953,            0.019152,           0.0092797,             0.89932,             0.88668,             0.89694,             0.41574,            0.060298,            0.014699,           0.0076837,            0.006964,            0.006964,            0.006964
                  94,            0.066576,            0.019931,           0.0093762,             0.89628,             0.88042,             0.88539,             0.40458,            0.059155,            0.014563,           0.0076893,            0.006931,            0.006931,            0.006931
                  95,            0.065682,            0.019216,           0.0095289,             0.90288,             0.88911,             0.87809,             0.42227,            0.058906,            0.014645,           0.0076788,            0.006898,            0.006898,            0.006898
                  96,            0.066396,            0.019265,           0.0094155,             0.91365,             0.88608,             0.89027,             0.42612,            0.059535,            0.014597,           0.0077456,            0.006865,            0.006865,            0.006865
                  97,             0.06764,            0.020382,            0.009583,             0.88549,             0.86603,             0.86782,             0.39385,             0.06276,              0.0151,           0.0081462,            0.006832,            0.006832,            0.006832
                  98,            0.066348,             0.01949,           0.0096899,             0.90567,             0.87411,             0.88219,              0.4111,            0.060169,            0.015055,           0.0079972,            0.006799,            0.006799,            0.006799
                  99,            0.067429,            0.019897,           0.0096676,             0.89995,             0.88391,             0.88915,             0.41166,            0.059182,            0.014474,           0.0077073,            0.006766,            0.006766,            0.006766
                 100,            0.066483,            0.019073,           0.0094086,             0.90246,             0.87956,              0.8907,             0.41697,            0.059668,            0.014541,           0.0078442,            0.006733,            0.006733,            0.006733
                 101,            0.065862,             0.01967,           0.0093801,             0.92153,             0.87383,             0.89004,              0.4098,            0.060823,            0.014799,           0.0076944,              0.0067,              0.0067,              0.0067
                 102,            0.066023,            0.019025,           0.0094019,             0.92436,             0.88884,             0.89633,             0.41711,            0.060123,            0.015006,           0.0077285,            0.006667,            0.006667,            0.006667
                 103,            0.066472,            0.019726,           0.0095796,             0.90018,             0.86769,             0.87843,              0.4098,            0.060984,            0.014931,           0.0077415,            0.006634,            0.006634,            0.006634
                 104,            0.067317,            0.019481,            0.009385,             0.90241,             0.86965,             0.87661,             0.41433,            0.058844,            0.015003,           0.0077099,            0.006601,            0.006601,            0.006601
                 105,            0.065418,             0.01965,           0.0094786,             0.90636,             0.88218,              0.8782,             0.41759,            0.058746,            0.014748,           0.0076448,            0.006568,            0.006568,            0.006568
                 106,            0.065611,            0.019839,           0.0093011,             0.91555,             0.87715,             0.88614,             0.41092,            0.058621,            0.014687,           0.0077385,            0.006535,            0.006535,            0.006535
                 107,            0.065842,            0.019695,           0.0091458,             0.91754,             0.88588,             0.89906,               0.433,            0.058817,            0.014803,           0.0077308,            0.006502,            0.006502,            0.006502
                 108,            0.064715,            0.018725,           0.0092354,             0.92236,              0.8962,             0.90518,             0.43194,            0.058079,            0.014672,            0.007679,            0.006469,            0.006469,            0.006469
                 109,            0.064954,            0.019595,            0.009438,             0.87321,              0.8611,             0.87406,             0.41099,            0.060494,            0.015504,           0.0081155,            0.006436,            0.006436,            0.006436
                 110,            0.064725,            0.018912,           0.0093224,              0.9168,             0.88828,             0.88215,             0.42135,              0.0582,            0.014577,           0.0076943,            0.006403,            0.006403,            0.006403
                 111,            0.066691,            0.019963,           0.0095647,             0.90609,             0.89255,             0.90705,             0.42475,             0.05852,            0.014489,           0.0076406,             0.00637,             0.00637,             0.00637
                 112,            0.065431,            0.020452,           0.0092626,             0.90763,             0.88773,             0.89364,             0.43469,            0.058325,            0.014507,            0.007733,            0.006337,            0.006337,            0.006337
                 113,            0.064235,            0.019135,           0.0092818,             0.90945,             0.88178,             0.89172,             0.43042,            0.058331,            0.014449,           0.0075702,            0.006304,            0.006304,            0.006304
                 114,            0.064697,            0.019673,           0.0091622,             0.89251,              0.8509,             0.86762,             0.40017,            0.060413,            0.015688,           0.0080518,            0.006271,            0.006271,            0.006271
                 115,            0.065294,            0.019856,           0.0093976,             0.92411,             0.89703,             0.89605,             0.41544,            0.059372,             0.01459,           0.0076731,            0.006238,            0.006238,            0.006238
                 116,            0.065068,            0.019104,           0.0093735,              0.9285,             0.89979,             0.90479,             0.43487,            0.057505,             0.01442,           0.0075531,            0.006205,            0.006205,            0.006205
                 117,            0.065296,            0.019446,           0.0093322,             0.90741,              0.8887,             0.88947,             0.42118,            0.058007,            0.014526,           0.0076025,            0.006172,            0.006172,            0.006172
                 118,            0.066378,             0.01964,           0.0095767,              0.8994,             0.88623,             0.88454,             0.42092,            0.058063,            0.014536,           0.0075823,            0.006139,            0.006139,            0.006139
                 119,            0.064115,            0.018831,           0.0091134,             0.92582,             0.89823,             0.91156,             0.42617,            0.057755,            0.014272,            0.007544,            0.006106,            0.006106,            0.006106
                 120,            0.064446,            0.019351,           0.0092641,             0.91401,              0.8873,             0.89294,             0.42397,            0.058512,            0.014474,           0.0075626,            0.006073,            0.006073,            0.006073
                 121,            0.065082,            0.020061,           0.0093465,              0.9087,             0.88547,             0.88999,             0.41892,            0.057929,            0.014365,           0.0075633,             0.00604,             0.00604,             0.00604
                 122,            0.064618,            0.020158,           0.0092617,             0.90775,             0.87117,             0.87842,             0.41143,            0.058342,            0.014547,           0.0075874,            0.006007,            0.006007,            0.006007
                 123,            0.063627,            0.018372,           0.0090685,             0.90352,             0.88451,             0.88436,             0.41298,            0.058935,            0.014653,           0.0076262,            0.005974,            0.005974,            0.005974
                 124,             0.06401,            0.019315,           0.0094348,             0.91703,             0.88642,             0.89074,              0.4321,            0.057018,            0.014309,           0.0074486,            0.005941,            0.005941,            0.005941
                 125,            0.065075,            0.018903,           0.0091611,             0.91367,             0.86918,             0.89093,              0.4161,            0.059238,            0.014648,           0.0075303,            0.005908,            0.005908,            0.005908
                 126,            0.064299,            0.019228,           0.0096226,             0.90765,             0.88821,             0.88671,             0.41834,            0.057375,            0.014438,           0.0075851,            0.005875,            0.005875,            0.005875
                 127,            0.065013,            0.019373,           0.0093085,             0.91551,              0.8941,              0.9038,             0.42741,            0.056845,            0.014209,           0.0074749,            0.005842,            0.005842,            0.005842
                 128,             0.06348,            0.019426,           0.0092457,             0.92442,             0.89693,             0.91061,             0.43473,            0.057468,            0.014193,           0.0074604,            0.005809,            0.005809,            0.005809
                 129,            0.064082,            0.019255,           0.0093058,             0.93044,             0.89818,             0.90737,             0.43139,            0.056963,            0.014207,           0.0074783,            0.005776,            0.005776,            0.005776
                 130,            0.064445,            0.019347,           0.0093006,             0.92175,             0.89701,             0.90367,             0.43639,            0.057103,            0.014193,           0.0074774,            0.005743,            0.005743,            0.005743
                 131,            0.064582,            0.019543,           0.0093794,             0.92185,             0.88969,             0.89136,             0.43005,             0.05791,            0.014294,            0.007469,             0.00571,             0.00571,             0.00571
                 132,            0.063789,            0.019245,           0.0090298,             0.91789,              0.8798,             0.88325,              0.4152,            0.060042,            0.014498,           0.0076444,            0.005677,            0.005677,            0.005677
                 133,            0.064339,            0.019754,           0.0093368,             0.92228,             0.91241,              0.9139,             0.43919,            0.057045,            0.014223,            0.007445,            0.005644,            0.005644,            0.005644
